vote_id,bioguide,member_name,party,state,chamber,congress,bill_number,bill_title,vote_date,true_label,predicted_label,reasoning,prompt_tokens,completion_tokens,n_tweets_raw,n_tweets_used,competitiveness,had_bill_summary,retrieval_method,mean_similarity,timestamp,freshman,n_past_votes
house_114_2nd_477,C000059,Calvert,R,CA,house,114,H R 5538,"Making appropriations for the Department of the Interior, environment, and related agencies for the fiscal year ending September 30, 2017, and for other purposes",2016-07-14,Yea,Yea,always_yea baseline: 455827/586445 Yea (77.7%) across all prior votes,0,0,,,,,,,2026-08-17T09:46:12.082806+00:00,veteran,25
senate_111_2_288,M000303,McCain (R-AZ),R,AZ,senate,111,"A bill making appropriations for military construction, the Department of Vetera",Motion to Invoke Cloture on the House Amendment to the Senate Amendment to H.R. 3082 With Amdt. No. 4885,2010-12-21,Nay,Yea,always_yea baseline: 210237/258221 Yea (81.4%) across all prior votes,0,0,,,,,,,2026-08-17T09:46:12.083050+00:00,veteran,25
house_114_1st_75,P000605,Perry,R,PA,house,114,S 1,Keystone XL Pipeline Approval Act,2015-02-11,Yea,Yea,always_yea baseline: 388307/494965 Yea (78.5%) across all prior votes,0,0,,,,,,,2026-08-17T09:46:12.083086+00:00,veteran,25
house_113_1st_458,K000376,Kelly (PA),R,PA,house,113,H R 2775,"To condition the provision of premium and cost-sharing subsidies under the Patient Protection and Affordable Care Act upon a certification that a program to verify household income and other qualifications for such subsidies is operational, and for other purposes",2013-09-12,Yea,Yea,always_yea baseline: 316711/397939 Yea (79.6%) across all prior votes,0,0,,,,,,,2026-08-17T09:46:12.083112+00:00,veteran,25
house_113_2nd_156,C001096,Cramer (R-ND),R,ND,house,113,H R 2575,Save American Workers Act of 2014,2014-04-03,Yea,Yea,always_yea baseline: 346933/440260 Yea (78.8%) across all prior votes,0,0,,,,,,,2026-08-17T09:46:12.083137+00:00,freshman,25
house_112_2nd_450,W000809,Womack,R,AR,house,112,H R 5972,"Making appropriations for the Departments of Transportation, and Housing and Urban Development, and related agencies for the fiscal year ending September 30, 2013, and for other purposes",2012-06-29,Yea,Yea,always_yea baseline: 270582/339186 Yea (79.8%) across all prior votes,0,0,,,,,,,2026-08-17T09:46:12.083160+00:00,freshman,25
house_113_1st_570,M001159,Rodgers (WA),R,WA,house,113,H J RES 99,"Relating to the disapproval of the President’s exercise of authority to suspend the debt limit, as submitted under section 1002(b) of the Continuing Appropriations Act, 2014 on October 17, 2013",2013-10-30,Yea,Yea,always_yea baseline: 328276/413581 Yea (79.4%) across all prior votes,0,0,,,,,,,2026-08-17T09:46:12.083182+00:00,veteran,25
house_112_1st_923,B001243,Blackburn (R-TN),R,TN,house,112,H R 3630,"To provide incentives for the creation of jobs, and for other purposes",2011-12-13,Yea,Yea,always_yea baseline: 248449/309915 Yea (80.2%) across all prior votes,0,0,,,,,,,2026-08-17T09:46:12.083203+00:00,veteran,25
house_112_1st_677,M001158,Marchant,R,TX,house,112,S 627,Budget Control Act of 2011,2011-07-29,Yea,Yea,always_yea baseline: 230149/287203 Yea (80.1%) across all prior votes,0,0,,,,,,,2026-08-17T09:46:12.083224+00:00,veteran,25
house_113_2nd_11,L000569,Luetkemeyer,R,MO,house,113,H R 3811,Health Exchange Security and Transparency Act,2014-01-10,Yea,Yea,always_yea baseline: 336011/424232 Yea (79.2%) across all prior votes,0,0,,,,,,,2026-08-17T09:46:12.083245+00:00,veteran,25
senate_111_2_272,C001056,Cornyn (R-TX),R,TX,senate,111,A bill to amend the Internal Revenue Code of 1986 to extend the funding and expe,Motion to Invoke Cloture on the Motion to Concur in the House Amdt. to Senate Amdt. with Amdt. No. 4753,2010-12-13,Yea,Yea,always_yea baseline: 206003/253377 Yea (81.3%) across all prior votes,0,0,,,,,,,2026-08-17T09:46:12.083266+00:00,veteran,25
house_114_1st_329,W000806,Webster (FL),R,FL,house,114,H R 2577,"Making appropriations for the Departments of Transportation, and Housing and Urban Development, and related agencies for the fiscal year ending September 30, 2016, and for other purposes",2015-06-09,Yea,Yea,always_yea baseline: 404940/516920 Yea (78.3%) across all prior votes,0,0,,,,,,,2026-08-17T09:46:12.083286+00:00,veteran,25
house_114_2nd_332,P000601,Palazzo,R,MS,house,114,H R 5293,"Making appropriations for the Department of Defense for the fiscal year ending September 30, 2017, and for other purposes",2016-06-16,Yea,Yea,always_yea baseline: 449971/578400 Yea (77.8%) across all prior votes,0,0,,,,,,,2026-08-17T09:46:12.083307+00:00,veteran,25
house_114_1st_518,C000059,Calvert,R,CA,house,114,H R 348,Responsibly And Professionally Invigorating Development Act of 2015 (RAPID Act),2015-09-25,Yea,Yea,always_yea baseline: 415798/532354 Yea (78.1%) across all prior votes,0,0,,,,,,,2026-08-17T09:46:12.083329+00:00,veteran,25
house_113_1st_38,H001053,Hartzler,R,MO,house,113,H R 444,"To require that, if the President’s fiscal year 2014 budget does not achieve balance in a fiscal year covered by such budget, the President shall submit a supplemental unified budget by April 1, 2013, which identifies a fiscal year in which balance is achieved, and for other purposes",2013-02-06,Yea,Yea,always_yea baseline: 289833/363960 Yea (79.6%) across all prior votes,0,0,,,,,,,2026-08-17T09:46:12.083351+00:00,veteran,25
house_114_2nd_250,M001180,McKinley,R,WV,house,114,S 2012,Energy Policy Modernization Act of 2016,2016-05-25,Yea,Yea,always_yea baseline: 447245/574173 Yea (77.9%) across all prior votes,0,0,,,,,,,2026-08-17T09:46:12.083373+00:00,veteran,25
house_114_1st_9,L000569,Luetkemeyer,R,MO,house,114,H R 37,Promoting Job Creation and Reducing Small Business Burdens Act,2015-01-07,Yea,Yea,always_yea baseline: 380482/484895 Yea (78.5%) across all prior votes,0,0,,,,,,,2026-08-17T09:46:12.083394+00:00,veteran,25
house_112_2nd_30,F000444,Flake (R-AZ),R,AZ,house,112,H R 3582,To amend the Congressional Budget Act of 1974 to provide for macroeconomic analysis of the impact of legislation,2012-02-02,Yea,Yea,always_yea baseline: 253829/316639 Yea (80.2%) across all prior votes,0,0,,,,,,,2026-08-17T09:46:12.083416+00:00,veteran,25
house_114_1st_35,S001192,Stewart,R,UT,house,114,H R 240,"Making appropriations for the Department of Homeland Security for the fiscal year ending September 30, 2015, and for other purposes",2015-01-14,Yea,Yea,always_yea baseline: 383220/488327 Yea (78.5%) across all prior votes,0,0,,,,,,,2026-08-17T09:46:12.083438+00:00,veteran,25
house_112_1st_320,D000614,Duffy,R,WI,house,112,H R 1231,Reversing President Obama’s Offshore Moratorium Act,2011-05-12,Yea,Yea,always_yea baseline: 221979/275198 Yea (80.7%) across all prior votes,0,0,,,,,,,2026-08-17T09:46:12.083460+00:00,freshman,25
house_114_1st_35,B001243,Blackburn (R-TN),R,TN,house,114,H R 240,"Making appropriations for the Department of Homeland Security for the fiscal year ending September 30, 2015, and for other purposes",2015-01-14,Yea,Yea,always_yea baseline: 383220/488327 Yea (78.5%) across all prior votes,0,0,,,,,,,2026-08-17T09:46:12.083482+00:00,veteran,25
house_112_1st_264,B000755,Brady,R,TX,house,112,H R 1217,To repeal the Prevention and Public Health Fund,2011-04-13,Yea,Yea,always_yea baseline: 219585/271457 Yea (80.9%) across all prior votes,0,0,,,,,,,2026-08-17T09:46:12.083505+00:00,veteran,25
house_114_1st_505,H001067,Hudson,R,NC,house,114,H R 3134,Defund Planned Parenthood Act of 2015,2015-09-18,Yea,Yea,always_yea baseline: 414857/530997 Yea (78.1%) across all prior votes,0,0,,,,,,,2026-08-17T09:46:12.083527+00:00,veteran,25
